xdot9312,Cell data 1,Cell data 2,Cell data 3
0,1419052.49,1118204.63,1383908.05
1,886758.691,1716336.772,1882758.621
2,2510054.533,2274463.34,2556475.096
3,4342450.579,3708809.59,3233409.962
4,6618183.367,6079871.759,5221302.682
5,9836826.858,8884165.04,7640459.77
6,13807174.51,11600641.2, NaN
7,22447085.89,18485503.21,18259003.83
8,40878834.36,25570393.09,25006896.55
9,55403033.4,40518817.95,39793256.7
10,70336826.86, NaN, NaN
11, NaN, NaN, NaN
12,101285105.7,90782408.7,91902222.22
13,110418967.3,112800111.5,116875862.1
14,96088786.64,99607053.25,119497777.8
15,96225630.54,105934650.2,118448582.4
16, NaN,77660181.2, NaN
17,87538854.81,97932422.4,101173842
18,83861877.98,81077528.59,85132970.03
19,75219154.74,96109906.43,87182425.07
20,71500937.29,87369523.24,80228201.63
21, NaN,84302539.73,73440871.93
22,66534417.34,78051091.64,61688692.1
23,56434688.35,61545522.06,49030517.71
24,47757181.57,53957077.08,34757765.67
25,39622764.23,45512995.69,32867574.93
26,34944173.44,34744244.76,28680926.43
27,29145799.46,30976533.49,23077588.56
