Km, Vmax
1.00000000e-04, 1.78818655e-01
1.26619327e-04, 1.78866208e-01
1.60324539e-04, 1.78926419e-01
2.03001852e-04, 1.79002658e-01
2.57039578e-04, 1.79099191e-01
3.25461783e-04, 1.79221420e-01
4.12097519e-04, 1.79376186e-01
5.21795104e-04, 1.79572150e-01
6.60693448e-04, 1.79820278e-01
8.36565596e-04, 1.80134456e-01
1.05925373e-03, 1.80532266e-01
1.34121994e-03, 1.81035971e-01
1.69824365e-03, 1.81673758e-01
2.15030468e-03, 1.82481320e-01
2.72270131e-03, 1.83503849e-01
3.44746607e-03, 1.84798569e-01
4.36515832e-03, 1.86437935e-01
5.52713408e-03, 1.88513688e-01
6.99841996e-03, 1.91141994e-01
8.86135224e-03, 1.94469936e-01
1.12201845e-02, 1.98683754e-01
1.19718063e-02, 2.00000000e-01
1.42069221e-02, 2.04019263e-01
1.79887092e-02, 2.10775048e-01
2.27771824e-02, 2.19329177e-01
2.88403150e-02, 2.30160358e-01
3.65174127e-02, 2.43874727e-01
4.62381021e-02, 2.61239768e-01
5.85463736e-02, 2.83227266e-01
6.82818849e-02, 3.00000000e-01
7.41310241e-02, 3.11067688e-01
9.38642037e-02, 3.46319043e-01
1.18850223e-01, 3.90954071e-01
1.24514950e-01, 4.00000000e-01
1.50487352e-01, 4.47470643e-01
1.81011748e-01, 5.00000000e-01
1.90546072e-01, 5.19031546e-01
2.36599329e-01, 6.00000000e-01
2.41268153e-01, 6.09641480e-01
2.93610534e-01, 7.00000000e-01
3.05492111e-01, 7.24371169e-01
3.51513395e-01, 8.00000000e-01
3.86812055e-01, 8.69641128e-01
4.06706521e-01, 9.00000000e-01
4.63694956e-01, 1.00000000e+00
4.89778819e-01, 1.05358097e+00
5.20168709e-01, 1.10000000e+00
5.77649105e-01, 1.20000000e+00
6.20154644e-01, 1.28648436e+00
6.29358123e-01, 1.30000000e+00
6.91931848e-01, 1.40000000e+00
7.46162410e-01, 1.50000000e+00
7.85235635e-01, 1.58138507e+00
7.97966618e-01, 1.60000000e+00
8.61585976e-01, 1.70000000e+00
9.18136517e-01, 1.80000000e+00
9.68734369e-01, 1.90000000e+00
9.94260074e-01, 1.95478636e+00
1.02498106e+00, 2.00000000e+00
1.08822889e+00, 2.10000000e+00
1.14572691e+00, 2.20000000e+00
1.19822511e+00, 2.30000000e+00
1.24634846e+00, 2.40000000e+00
1.25892541e+00, 2.42758456e+00
