gene	len_aa	Pfam	R	KO
pmm:PMM0003	779	AIRS AIRS_C FGAR-AT_linker	R04463	K01952
pmm:PMM0004	486	GATase_6 GATase_7 Pribosyltran GATase_4 Hydrolase CpxA_peri	R01072	K00764
pmm:PMM0012	459	Lyase_1 ASL_C2	R01086	K01755
pmm:PMM0019	305	RsgA_GTPase MMR_HSR1 ABC_tran AAA_22 cobW AAA_23 AAA_7 MobB ATPase_2 T2SSE AAA_29 RsgA_N PDDEXK_10 AAA_16 NTPase_1 AAA RNA_helicase NACHT TsaE AAA_19 RuvB_N AAA_33 AAA_25	R00615	K06949
pmm:PMM0019	305	RsgA_GTPase MMR_HSR1 ABC_tran AAA_22 cobW AAA_23 AAA_7 MobB ATPase_2 T2SSE AAA_29 RsgA_N PDDEXK_10 AAA_16 NTPase_1 AAA RNA_helicase NACHT TsaE AAA_19 RuvB_N AAA_33 AAA_25	R02135	K06949
pmm:PMM0021	296	MurB_C FAD_binding_4	R03191	K00075
pmm:PMM0021	296	MurB_C FAD_binding_4	R03192	K00075
pmm:PMM0022	473	Mur_ligase Mur_ligase_M Mur_ligase_C OTCace Toast_rack_N	R03193	K01924
pmm:PMM0023	340	Gp_dh_C Gp_dh_N	R01061	K00150
pmm:PMM0023	340	Gp_dh_C Gp_dh_N	R01063	K00150
pmm:PMM0024	328	AIRS AIRS_C ASD2	R00617	K00946
pmm:PMM0027	168	Biotin_lipoyl Biotin_lipoyl_2 GCV_H	R00742	K02160
pmm:PMM0028	346	PdxA	R05681	K00097
pmm:PMM0028	346	PdxA	R05837	K00097
pmm:PMM0028	346	PdxA	R07406	K00097
pmm:PMM0036	372	CbiD	R07773	K02188
pmm:PMM0037	528	GMP_synt_C GATase Peptidase_C26 NAD_synthase Asn_synthase tRNA_Me_trans SNO ATP_bind_3 QueC PAPS_reduct	R01230	K01951
pmm:PMM0037	528	GMP_synt_C GATase Peptidase_C26 NAD_synthase Asn_synthase tRNA_Me_trans SNO ATP_bind_3 QueC PAPS_reduct	R01231	K01951
pmm:PMM0037	528	GMP_synt_C GATase Peptidase_C26 NAD_synthase Asn_synthase tRNA_Me_trans SNO ATP_bind_3 QueC PAPS_reduct	R08244	K01951
pmm:PMM0044	886	tRNA-synt_2c DHHA1 tRNA_SAD ADIP AATF-Che1	R03038	K01872
pmm:PMM0045	648	Orn_Arg_deC_N Arg_decarb_HB Arg_decarbox_C	R00566	K01585
pmm:PMM0046	152	NDK PSI_PsaJ	R00124	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R00139	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R00156	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R00330	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R00570	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R00722	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R01137	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R01857	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R02093	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R02326	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R02331	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R03530	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R11894	K00940
pmm:PMM0046	152	NDK PSI_PsaJ	R11895	K00940
pmm:PMM0047	369	DAO FAD_binding_2 Pyr_redox_2 NAD_binding_8 Thi4 HI0933_like Pyr_redox FAD_binding_3 3HCDH_N NAD_binding_7 GIDA Lycopene_cycl ApbA	R07463	K03153
pmm:PMM0048	490	GatB_N GatB_Yqey	R03905	K02434
pmm:PMM0048	490	GatB_N GatB_Yqey	R04212	K02434
pmm:PMM0049	204	CoaE AAA_18 DUF5532 BcrAD_BadFG AAA_17 CPT Cytidylate_kin2 SKI	R00130	K00859
pmm:PMM0050	402	ArgJ	R00259	K00620
pmm:PMM0050	402	ArgJ	R02282	K00620
pmm:PMM0052	320	Aldo_ket_red	R01708	K05275
pmm:PMM0060	449	CPSase_L_D2 Biotin_carb_N Biotin_carb_C ATP-grasp Dala_Dala_lig_C ATP-grasp_3 RimK ATP-grasp_5 ATPgrasp_Ter ATP-grasp_4	R00742	K01961
pmm:PMM0060	449	CPSase_L_D2 Biotin_carb_N Biotin_carb_C ATP-grasp Dala_Dala_lig_C ATP-grasp_3 RimK ATP-grasp_5 ATPgrasp_Ter ATP-grasp_4	R04385	K01961
